shopTitle,price,title,auction,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
鲁信数码手机店,4668.0,2023新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>旗舰5G手机官网国行正品苹果<span class=H>15</span>Pro,item.taobao.com/item.htm?id=738994761296&ns=1&abbucket=15#detail,738994761296,72,河南 郑州,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
诺悦通讯,4668.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 新品苹果<span class=H>iPhone</span><span class=H>15</span>国行正品原封手机,item.taobao.com/item.htm?id=737274536939&ns=1&abbucket=15#detail,737274536939,120,江苏 南京,1,0,1,0,0,A16 仿生芯片,4800,30,,1,4800
一只羊手机店,6634.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro2023年新款全新原封国行正品双卡5G手机,item.taobao.com/item.htm?id=737521475285&ns=1&abbucket=15#detail,737521475285,264,河南 郑州,1,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
武汉芒果数码,5590.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus国行原封未激活<span class=H>iphone</span><span class=H>15</span>plus全新正品,item.taobao.com/item.htm?id=740227467754&ns=1&abbucket=15#detail,740227467754,72,湖北 武汉,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
济南精诚数码,4659.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行全新原封苹果<span class=H>15</span>双卡5G 未激活全国联保,item.taobao.com/item.htm?id=739146740022&ns=1&abbucket=15#detail,739146740022,312,山东 济南,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
盛创数码,4338.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>新款原装国行正品苹果<span class=H>15</span>全网通<span class=H>iphone</span><span class=H>15</span>plus,item.taobao.com/item.htm?id=775973989030&ns=1&abbucket=15#detail,775973989030,588,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
武汉老石,3730.0,代购Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus新款正品国行5G全网通手机分期,item.taobao.com/item.htm?id=743436640351&ns=1&abbucket=15#detail,743436640351,48,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
iPhone甄选,9899.0,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max 苹果5G手机<span class=H>15</span>ProMax 国行正品,item.taobao.com/item.htm?id=775098978688&ns=1&abbucket=15#detail,775098978688,324,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
iPhone Store 特惠店,6358.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>ProMax国行全网通苹果<span class=H>15</span>pro苹果<span class=H>15</span>plus手机,item.taobao.com/item.htm?id=775816221241&ns=1&abbucket=15#detail,775816221241,120,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
iPhone臻选,4325.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>官方国行正品<span class=H>15</span>plus全网通双卡旗舰5G手机林,item.taobao.com/item.htm?id=776031673112&ns=1&abbucket=15#detail,776031673112,336,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
